# wavelength(nm) intensity(au)
6.443550000000000182e+02 4.045849999999999909e+03
6.446100000000000136e+02 4.388850000000000364e+03
6.448650000000000091e+02 4.475850000000000364e+03
6.451200000000000045e+02 4.715850000000000364e+03
6.453750000000000000e+02 4.809850000000000364e+03
6.456299999999999955e+02 5.083850000000000364e+03
6.458849999999999909e+02 5.245850000000000364e+03
6.461390000000000100e+02 5.763850000000000364e+03
6.463940000000000055e+02 6.184850000000000364e+03
6.466490000000000009e+02 6.741850000000000364e+03
6.469039999999999964e+02 7.658850000000000364e+03
6.471589999999999918e+02 7.612850000000000364e+03
6.474130000000000109e+02 7.532850000000000364e+03
6.476680000000000064e+02 7.458850000000000364e+03
6.479230000000000018e+02 7.340850000000000364e+03
6.481779999999999973e+02 7.318850000000000364e+03
6.484329999999999927e+02 7.341850000000000364e+03
6.486870000000000118e+02 7.792850000000000364e+03
6.489420000000000073e+02 8.069850000000000364e+03
6.491970000000000027e+02 8.156850000000000364e+03
6.494519999999999982e+02 8.468850000000000364e+03
6.497060000000000173e+02 8.575850000000000364e+03
6.499610000000000127e+02 8.649850000000000364e+03
6.502160000000000082e+02 8.516850000000000364e+03
6.504700000000000273e+02 8.487850000000000364e+03
6.507250000000000227e+02 8.246850000000000364e+03
6.509800000000000182e+02 8.580850000000000364e+03
6.512340000000000373e+02 9.062850000000000364e+03
6.514890000000000327e+02 9.477850000000000364e+03
6.517440000000000282e+02 9.354850000000000364e+03
6.519980000000000473e+02 9.440850000000000364e+03
6.522530000000000427e+02 9.485850000000000364e+03
6.525080000000000382e+02 9.089850000000000364e+03
6.527619999999999436e+02 9.012850000000000364e+03
6.530170000000000528e+02 8.866850000000000364e+03
6.532720000000000482e+02 8.869850000000000364e+03
6.535259999999999536e+02 8.613850000000000364e+03
6.537809999999999491e+02 8.828850000000000364e+03
6.540349999999999682e+02 9.265850000000000364e+03
6.542899999999999636e+02 9.785850000000000364e+03
6.545439999999999827e+02 9.677850000000000364e+03
6.547989999999999782e+02 9.121850000000000364e+03
6.550539999999999736e+02 8.930850000000000364e+03
6.553079999999999927e+02 8.857850000000000364e+03
6.555629999999999882e+02 8.803850000000000364e+03
6.558170000000000073e+02 9.027850000000000364e+03
6.560720000000000027e+02 8.968850000000000364e+03
6.563260000000000218e+02 8.869850000000000364e+03
6.565810000000000173e+02 8.428850000000000364e+03
6.568350000000000364e+02 8.006850000000000364e+03
6.570900000000000318e+02 7.492850000000000364e+03
6.573440000000000509e+02 7.163850000000000364e+03
6.575990000000000464e+02 7.144850000000000364e+03
6.578529999999999518e+02 7.034850000000000364e+03
6.581069999999999709e+02 6.344850000000000364e+03
6.583619999999999663e+02 5.907850000000000364e+03
6.586159999999999854e+02 5.816850000000000364e+03
6.588709999999999809e+02 5.547850000000000364e+03
6.591250000000000000e+02 5.625850000000000364e+03
6.593799999999999955e+02 5.878850000000000364e+03
6.596340000000000146e+02 5.988850000000000364e+03
6.598880000000000337e+02 5.951850000000000364e+03
6.601430000000000291e+02 5.678850000000000364e+03
6.603970000000000482e+02 5.501850000000000364e+03
6.606509999999999536e+02 5.385850000000000364e+03
6.609059999999999491e+02 5.328850000000000364e+03
6.611599999999999682e+02 5.009850000000000364e+03
6.614139999999999873e+02 4.459850000000000364e+03
6.616689999999999827e+02 3.916849999999999909e+03
6.619230000000000018e+02 3.626849999999999909e+03
6.621770000000000209e+02 3.412849999999999909e+03
6.624320000000000164e+02 3.452849999999999909e+03
6.626860000000000355e+02 3.470849999999999909e+03
6.629400000000000546e+02 3.484849999999999909e+03
6.631950000000000500e+02 3.411849999999999909e+03
6.634489999999999554e+02 3.261849999999999909e+03
6.637029999999999745e+02 3.148849999999999909e+03
6.639569999999999936e+02 2.933849999999999909e+03
6.642119999999999891e+02 2.918849999999999909e+03
6.644660000000000082e+02 2.890849999999999909e+03
6.647200000000000273e+02 2.873849999999999909e+03
6.649740000000000464e+02 2.791849999999999909e+03
6.652279999999999518e+02 2.729849999999999909e+03
6.654829999999999472e+02 2.798849999999999909e+03
6.657369999999999663e+02 2.783849999999999909e+03
6.659909999999999854e+02 2.614849999999999909e+03
6.662450000000000045e+02 2.577849999999999909e+03
6.664990000000000236e+02 2.328849999999999909e+03
6.667540000000000191e+02 2.209849999999999909e+03
6.670080000000000382e+02 2.132849999999999909e+03
6.672619999999999436e+02 2.005849999999999909e+03
6.675159999999999627e+02 1.943849999999999909e+03
6.677699999999999818e+02 1.825849999999999909e+03
6.680240000000000009e+02 1.726849999999999909e+03
6.682780000000000200e+02 1.767849999999999909e+03
6.685320000000000391e+02 1.672849999999999909e+03
6.687859999999999445e+02 1.565849999999999909e+03
6.690410000000000537e+02 1.549849999999999909e+03
6.692949999999999591e+02 1.529849999999999909e+03
6.695489999999999782e+02 1.459849999999999909e+03
6.698029999999999973e+02 1.424849999999999909e+03
6.700570000000000164e+02 1.384849999999999909e+03
6.703110000000000355e+02 1.318849999999999909e+03
6.705650000000000546e+02 1.248849999999999909e+03
6.708189999999999600e+02 1.146849999999999909e+03
6.710729999999999791e+02 1.057849999999999909e+03
6.713269999999999982e+02 1.060849999999999909e+03
6.715810000000000173e+02 1.041849999999999909e+03
6.718350000000000364e+02 1.008850000000000023e+03
6.720890000000000555e+02 9.408500000000000227e+02
6.723429999999999609e+02 9.458500000000000227e+02
6.725969999999999800e+02 9.218500000000000227e+02
6.728509999999999991e+02 8.768500000000000227e+02
